동,연도,월,전체,남자,여자,아동전체,아동남자,아동여자,청소년전체,청소년남자,청소년여자,청년전체,청년남자,청년여자
하계1동,2023,3,26958.0,12948.0,14010.0,2930.0,1584.0,1346.0,6273.0,3406.0,2867.0,6920.0,3692.0,3228.0
하계1동,2023,4,26942.0,12936.0,14006.0,2915.0,1575.0,1340.0,6244.0,3387.0,2857.0,6967.0,3720.0,3247.0
하계1동,2023,5,26829.0,12869.0,13960.0,2912.0,1570.0,1342.0,6173.0,3341.0,2832.0,6954.0,3716.0,3238.0
하계1동,2023,6,26616.0,12745.0,13871.0,2890.0,1566.0,1324.0,5996.0,3229.0,2767.0,6871.0,3657.0,3214.0
하계1동,2023,7,26477.0,12677.0,13800.0,2855.0,1539.0,1316.0,5880.0,3176.0,2704.0,6807.0,3622.0,3185.0
하계1동,2023,8,26259.0,12563.0,13696.0,2844.0,1530.0,1314.0,5685.0,3084.0,2601.0,6646.0,3545.0,3101.0
하계1동,2023,9,26386.0,12657.0,13729.0,2825.0,1523.0,1302.0,5806.0,3162.0,2644.0,6780.0,3637.0,3143.0
하계1동,2023,10,26295.0,12608.0,13687.0,2784.0,1498.0,1286.0,5773.0,3134.0,2639.0,6778.0,3619.0,3159.0
하계1동,2023,11,26267.0,12586.0,13681.0,2780.0,1498.0,1282.0,5744.0,3106.0,2638.0,6766.0,3602.0,3164.0
하계1동,2023,12,26140.0,12500.0,13640.0,2767.0,1489.0,1278.0,5614.0,3033.0,2581.0,6671.0,3546.0,3125.0
하계1동,2024,1,25902.0,12353.0,13549.0,2756.0,1477.0,1279.0,5390.0,2898.0,2492.0,6447.0,3422.0,3025.0
하계1동,2024,2,25963.0,12381.0,13582.0,2723.0,1462.0,1261.0,5498.0,2953.0,2545.0,6493.0,3439.0,3054.0
